Path,SteerAngle,Throttle,Brake,Speed,X_Position,Y_Position,Pitch,Yaw,Roll
D:\Deep\Learning\Udacity\RoboND\P1\IMG\robocam_2017_05_13_17_32_38_475.jpg,6.068536,1,0,1.934537,102.0618,86.34865,1.236191,21.33913,0.03530493
D:\Deep\Learning\Udacity\RoboND\P1\IMG\robocam_2017_05_13_17_32_38_522.jpg,3.977377,1,0,1.965761,102.1725,86.39467,1.241217,21.91316,0.01196599
D:\Deep\Learning\Udacity\RoboND\P1\IMG\robocam_2017_05_13_17_32_38_568.jpg,1.896089,1,0,2.011148,102.2481,86.42602,1.267126,22.14128,-0.0001507813
D:\Deep\Learning\Udacity\RoboND\P1\IMG\robocam_2017_05_13_17_32_38_614.jpg,0,1,0,2.04048,102.3249,86.4577,1.299485,22.22958,0.0007156998
D:\Deep\Learning\Udacity\RoboND\P1\IMG\robocam_2017_05_13_17_32_38_663.jpg,0,1,0,2.068413,102.4417,86.50591,1.322388,22.27281,0.001176973
D:\Deep\Learning\Udacity\RoboND\P1\IMG\robocam_2017_05_13_17_32_38_712.jpg,2.105765,1,0,2.113738,102.5204,86.53907,1.318985,22.38928,0.0005230215
D:\Deep\Learning\Udacity\RoboND\P1\IMG\robocam_2017_05_13_17_32_38_755.jpg,4.37533,1,0,2.143698,102.5996,86.57356,1.301514,22.66935,-0.0007856744
D:\Deep\Learning\Udacity\RoboND\P1\IMG\robocam_2017_05_13_17_32_38_803.jpg,6.306038,1,0,2.17295,102.7198,86.62817,1.293102,23.36221,-0.001887587
D:\Deep\Learning\Udacity\RoboND\P1\IMG\robocam_2017_05_13_17_32_38_847.jpg,8.387191,1,0,2.21578,102.8005,86.66667,1.288602,23.99483,0.01176531
D:\Deep\Learning\Udacity\RoboND\P1\IMG\robocam_2017_05_13_17_32_38_897.jpg,6.322568,1,0,2.243286,102.8822,86.70605,1.28638,24.58897,0.01938523
D:\Deep\Learning\Udacity\RoboND\P1\IMG\robocam_2017_05_13_17_32_38_942.jpg,4.061047,1,0,2.272682,103.0067,86.76598,1.289471,25.23255,0.00648712
D:\Deep\Learning\Udacity\RoboND\P1\IMG\robocam_2017_05_13_17_32_38_985.jpg,2.03672,1,0,2.316844,103.0913,86.80682,1.30608,25.50349,3.33592E-05
D:\Deep\Learning\Udacity\RoboND\P1\IMG\robocam_2017_05_13_17_32_39_032.jpg,0.1019514,1,0,2.346327,103.1768,86.84794,1.314819,25.62195,0.001102886
D:\Deep\Learning\Udacity\RoboND\P1\IMG\robocam_2017_05_13_17_32_39_079.jpg,0,1,0,2.374128,103.3069,86.91063,1.32432,25.67869,0.001631037
D:\Deep\Learning\Udacity\RoboND\P1\IMG\robocam_2017_05_13_17_32_39_126.jpg,0,1,0,2.417698,103.3949,86.95319,1.328351,25.69403,0.001420207
D:\Deep\Learning\Udacity\RoboND\P1\IMG\robocam_2017_05_13_17_32_39_173.jpg,0,1,0,2.447312,103.4839,86.99635,1.333303,25.70363,0.0013908
D:\Deep\Learning\Udacity\RoboND\P1\IMG\robocam_2017_05_13_17_32_39_220.jpg,0,1,0,2.476083,103.6191,87.06206,1.331569,25.71591,0.001333901
D:\Deep\Learning\Udacity\RoboND\P1\IMG\robocam_2017_05_13_17_32_39_267.jpg,0,1,0,2.519418,103.7105,87.10656,1.332356,25.72412,0.001337691
D:\Deep\Learning\Udacity\RoboND\P1\IMG\robocam_2017_05_13_17_32_39_313.jpg,0,1,0,2.548013,103.803,87.15158,1.334238,25.73201,0.00133054
D:\Deep\Learning\Udacity\RoboND\P1\IMG\robocam_2017_05_13_17_32_39_360.jpg,0,1,0,2.576541,103.9437,87.2201,1.338601,25.74378,0.00135232
